Brand,Model,Storage,Color,Price,Sale Date,Payment Method,Customer Name,Store Location
Samsung,Galaxy S21,256GB,Blue,32040.27,25-04-2024,Debit Card,Lauren Hernandez,Williamview
Samsung,Galaxy A52,256GB,Green,17824.49,31-05-2024,Cash,Jacob Fitzpatrick,Lake Debra
Apple,iPhone 13,64GB,White,55481.98,12-03-2025,Credit Card,Hunter Fleming,Rodneyside
OnePlus,11R,256GB,Gold,59044.73,27-12-2024,Debit Card,Richard Henson,Leeville
Google,Pixel 7,64GB,Silver,82523.73,16-09-2024,Cash,Nicole Frost,North Jessicaland
Realme,Narzo 50,64GB,Silver,40293.51,12-07-2024,Credit Card,Vanessa Cochran,Samuelhaven
Samsung,Galaxy S22,128GB,Green,33806.88,20-03-2025,Credit Card,Christopher Middleton,Lake Matthew
Motorola,G31,64GB,Red,17092.02,09-02-2025,UPI,Rebekah Shields,South Dianeshire
Google,Pixel 7,256GB,White,73411.47,20-02-2025,Credit Card,Christopher Haynes,Stewartland
OnePlus,9R,64GB,Silver,30951.18,07-09-2024,Credit Card,Shannon Walker,Samuelhaven
Realme,Realme 9,256GB,Silver,42834.9,23-02-2025,UPI,Hannah Hoover,West Allison
OnePlus,11R,128GB,Gold,94298.91,16-03-2025,Credit Card,Alexander Lee,Port Jacobland
Xiaomi,Redmi 10,256GB,White,24706.22,17-08-2024,Cash,Benjamin Ayala,Danielchester
Nokia,G21,256GB,Blue,85856.67,26-08-2024,Credit Card,Jennifer Zavala,Daviston
Apple,iPhone 14,128GB,Blue,15956.97,06-11-2024,Net Banking,Alexander Wiley,East Josephville
Oppo,Reno6,256GB,Red,45606.87,22-07-2024,Cash,Victor Baker,Jacquelineland
Realme,Narzo 50,64GB,Gold,60523.13,24-05-2024,UPI,Haley Hartman,North Cynthiaview
Google,Pixel 7,256GB,Red,42579.68,28-09-2024,Debit Card,Kayla Cruz,North Deniseside
Motorola,Moto G60,64GB,Silver,19868.42,21-11-2024,Debit Card,Andrew Graham,Davidstad
Vivo,T1,64GB,Red,44345.74,30-10-2024,Cash,Kimberly Ball,South Todd
Realme,Realme GT,64GB,Gold,74864.96,25-01-2025,Net Banking,Christina Reynolds,North Matthewberg
Realme,Realme GT,128GB,Black,36415.01,25-12-2024,Debit Card,Lisa Alvarado,Gomezchester
Apple,iPhone 15,256GB,Blue,97469.93,30-05-2024,Debit Card,Elizabeth Parker,Mortonside
Samsung,Galaxy A52,128GB,Silver,67505.45,17-09-2024,Net Banking,Michael Spencer,Wilkersonmouth
Xiaomi,Mi 11X,64GB,Green,95814.98,25-06-2024,Net Banking,Todd Byrd,North Judithbury
Google,Pixel 7,128GB,Black,20068.1,28-03-2025,UPI,Keith Sullivan,New Stephanie
OnePlus,Nord 2,64GB,Green,95225.45,01-03-2025,Credit Card,Dustin Jordan,Lake Matthew
Motorola,Moto G60,256GB,Silver,21318.45,23-11-2024,Cash,Erica Ramos,Saramouth
Xiaomi,Mi 11X,256GB,Silver,64593.45,30-12-2024,Debit Card,John Santana,East Nicholasfurt
OnePlus,11R,128GB,Red,99563.44,15-02-2025,UPI,Mary Campbell,Sanchezfort
Nokia,X20,64GB,White,30222.76,25-12-2024,UPI,Frances Cardenas,New Roberttown
Google,Pixel 8,64GB,Green,29819.56,28-01-2025,Credit Card,Eric Drake,Lake Lisaport
Apple,iPhone 13,64GB,Black,87367.19,08-06-2024,Credit Card,David Alvarez,North Deniseside
